tt0	tt1	status	gates	wall_s	chain
00	00	sat	2	0.02	F0 =  B ; F1 =  B ; B = !a  &   A ; A =  a  &   b
00	02	sat	3	0.02	F0 =  B ; F1 =  C ; C = !b  &   A ; B =  c  &   A ; A =  a  &  !c
00	06	sat	5	0.06	F0 =  E ; F1 =  D ; E = !b  &   B ; D = !c  &  !C ; C = !A  &  !B ; B = !a  &   b ; A =  a  &  !b
00	0a	sat	2	0.02	F0 =  B ; F1 =  A ; B =  c  &   A ; A =  a  &  !c
00	0e	sat	3	0.02	F0 =  B ; F1 =  C ; C = !c  &  !A ; B =  a  &   A ; A = !a  &  !b
00	16	sat	7	0.39	F0 =  G ; F1 = !F ; G =  b  &   B ; F = !D  &  !E ; E = !B  &   C ; D =  B  &  !C ; C = !a  &  !c ; B = !b  &  !A ; A =  a  &   c
00	18	sat	6	0.10	F0 =  F ; F1 = !E ; F = !c  &   D ; E = !B  &  !D ; D =  c  &   C ; C = !a  &  !b ; B =  a  &   A ; A =  b  &  !c
00	1a	sat	5	0.05	F0 =  B ; F1 = !E ; E = !A  &  !D ; D = !a  &   C ; C = !b  &   c ; B =  c  &   A ; A =  a  &  !c
00	1e	sat	5	0.06	F0 =  D ; F1 = !E ; E = !B  &  !C ; D = !c  &   B ; C = !c  &  !A ; B =  c  &   A ; A = !a  &  !b
00	2e	sat	4	0.03	F0 =  C ; F1 = !D ; D = !A  &  !B ; C =  A  &   B ; B =  b  &  !c ; A =  a  &  !b
00	3c	sat	4	0.03	F0 =  C ; F1 = !D ; D = !A  &  !B ; C = !b  &   A ; B = !b  &   c ; A =  b  &  !c
00	8e	sat	5	0.06	F0 =  D ; F1 =  E ; E = !B  &  !C ; D =  A  &   C ; C =  c  &  !A ; B = !a  &  !b ; A =  a  &   b
00	96	sat	7	0.25	F0 =  G ; F1 =  F ; G =  A  &   C ; F = !D  &  !E ; E = !a  &   C ; D =  a  &  !C ; C = !A  &  !B ; B = !b  &   c ; A =  b  &  !c
00	aa	sat	2	0.01	F0 =  B ; F1 =  a ; B = !a  &   A ; A =  a  &   b
02	02	sat	2	0.01	F0 =  B ; F1 =  B ; B = !c  &   A ; A =  a  &  !b
02	04	sat	4	0.03	F0 =  D ; F1 =  C ; D =  a  &   A ; C = !a  &   B ; B =  b  &  !c ; A = !b  &  !c
02	06	sat	5	0.06	F0 =  D ; F1 = !E ; E = !B  &  !D ; D = !c  &   C ; C =  a  &  !A ; B = !a  &   A ; A =  b  &  !c
02	08	sat	3	0.02	F0 =  C ; F1 =  B ; C =  A  &  !B ; B =  b  &   A ; A =  a  &  !c
02	0a	sat	2	0.02	F0 =  B ; F1 =  A ; B = !b  &   A ; A =  a  &  !c
02	0c	sat	3	0.02	F0 =  C ; F1 =  B ; C =  A  &  !B ; B =  b  &  !c ; A =  a  &  !c
02	0e	sat	3	0.02	F0 =  C ; F1 =  B ; C = !b  &   B ; B = !c  &  !A ; A = !a  &  !b
02	14	sat	5	0.05	F0 =  E ; F1 =  D ; E =  a  &   B ; D = !a  &   C ; C = !A  &  !B ; B = !b  &  !c ; A =  b  &   c
02	16	sat	6	0.11	F0 =  B ; F1 =  F ; F = !C  &  !E ; E = !B  &  !D ; D = !a  &  !A ; C =  b  &   c ; B =  a  &   A ; A = !b  &  !c
02	18	sat	6	0.09	F0 =  F ; F1 =  E ; F = !c  &  !D ; E = !A  &   D ; D = !B  &  !C ; C =  a  &  !b ; B =  b  &   c ; A = !a  &  !c
02	1a	sat	5	0.05	F0 =  C ; F1 = !E ; E = !A  &  !D ; D = !b  &   B ; C = !b  &   A ; B = !a  &   c ; A =  a  &  !c
02	1c	sat	5	0.05	F0 =  C ; F1 =  E ; E = !B  &  !D ; D =  c  &  !A ; C = !A  &   B ; B = !b  &  !c ; A = !a  &  !b
02	1e	sat	5	0.05	F0 =  D ; F1 = !E ; E = !B  &  !C ; D = !b  &   C ; C = !c  &  !A ; B =  c  &   A ; A = !a  &  !b
02	28	sat	5	0.06	F0 =  B ; F1 =  E ; E = !B  &   D ; D =  a  &  !C ; C =  b  &  !A ; B = !b  &   A ; A =  a  &  !c
02	2a	sat	4	0.03	F0 =  C ; F1 = !D ; D = !A  &  !B ; C = !c  &   B ; B =  a  &  !b ; A =  a  &  !c
02	2c	sat	5	0.05	F0 =  E ; F1 = !D ; E = !c  &   B ; D = !A  &  !C ; C =  c  &   B ; B =  a  &  !b ; A =  b  &  !c
02	2e	sat	4	0.07	F0 =  B ; F1 = !D ; D = !A  &  !C ; C =  b  &  !c ; B = !c  &   A ; A =  a  &  !b
02	3c	sat	4	0.03	F0 =  C ; F1 =  D ; D = !A  &  !B ; C =  a  &   B ; B = !b  &  !c ; A =  b  &   c
02	3e	sat	5	0.09	F0 =  D ; F1 = !E ; E = !B  &  !C ; D = !c  &   B ; C =  b  &  !c ; B = !b  &  !A ; A = !a  &  !c
02	40	sat	4	0.08	F0 =  C ; F1 =  D ; D = !a  &   B ; C = !b  &   A ; B =  b  &   c ; A =  a  &  !c
02	42	sat	5	0.09	F0 =  C ; F1 = !E ; E = !C  &  !D ; D =  b  &   A ; C = !c  &   B ; B =  a  &  !b ; A = !a  &   c
02	44	sat	3	0.06	F0 =  B ; F1 =  C ; C = !a  &   b ; B =  a  &   A ; A = !b  &  !c
02	46	sat	4	0.06	F0 =  B ; F1 = !D ; D = !B  &  !C ; C = !a  &   b ; B =  a  &   A ; A = !b  &  !c
02	48	sat	5	0.10	F0 =  E ; F1 =  D ; E = !b  &   B ; D =  b  &  !C ; C = !A  &  !B ; B =  a  &  !c ; A = !a  &   c
