tt0	tt1	status	gates	wall_s	chain
00	00	sat	4	0.03	F0 = n2 ; F0N = n3 ; F1 = n2 ; F1N = n3 ; n3 = a | n0 ; n2 = b & n1 ; n1 = bN & cN ; n0 = aN | c
00	02	sat	6	0.08	F0 = n4 ; F0N = n5 ; F1 = n1 ; F1N = n3 ; n5 = a | n2 ; n4 = aN & n0 ; n3 = b | n2 ; n2 = aN | c ; n1 = cN & n0 ; n0 = a & bN
00	06	sat	10	9.19	F0 = n8 ; F0N = n5 ; F1 = n9 ; F1N = n6 ; n9 = n4 & n7 ; n8 = c & n7 ; n7 = cN & n3 ; n6 = c | n2 ; n5 = n1 | n4 ; n4 = a | b ; n3 = aN | bN ; n2 = n0 & n1 ; n1 = a | bN ; n0 = aN | b
00	0a	sat	4	0.04	F0 = n3 ; F0N = n2 ; F1 = n1 ; F1N = n0 ; n3 = c & n1 ; n2 = n0 | n1 ; n1 = a & cN ; n0 = aN | c
00	0e	sat	6	0.08	F0 = n1 ; F0N = n5 ; F1 = n4 ; F1N = n2 ; n5 = n2 | n4 ; n4 = cN & n3 ; n3 = a | b ; n2 = c | n0 ; n1 = b & n0 ; n0 = aN & bN
00	16	sat	14	218.91	F0 = n12 ; F0N = n1 ; F1 = n10 ; F1N = n13 ; n13 = n9 | n11 ; n12 = n2 & n11 ; n11 = b & c ; n10 = n6 & n8 ; n9 = n3 & n7 ; n8 = a | n5 ; n7 = aN | n5 ; n6 = n0 & n4 ; n5 = b | c ; n4 = aN | n2 ; n3 = a | n2 ; n2 = bN & cN ; n1 = b | n0 ; n0 = bN | cN
00	18	sat	12	124.64	F0 = n11 ; F0N = n10 ; F1 = n6 ; F1N = n9 ; n11 = n6 & n9 ; n10 = n6 | n9 ; n9 = n2 | n8 ; n8 = n1 | n7 ; n7 = bN & cN ; n6 = n4 | n5 ; n5 = c & n0 ; n4 = cN & n3 ; n3 = a & b ; n2 = a & c ; n1 = aN & b ; n0 = aN & bN
00	1a	sat	10	7.87	F0 = n9 ; F0N = n1 ; F1 = n8 ; F1N = n6 ; n9 = n6 & n8 ; n8 = n4 & n7 ; n7 = a | n3 ; n6 = n2 & n5 ; n5 = b | n0 ; n4 = aN | cN ; n3 = bN & c ; n2 = aN | c ; n1 = aN | n0 ; n0 = a | cN
00	1e	sat	10	4.60	F0 = n9 ; F0N = n7 ; F1 = n5 ; F1N = n8 ; n9 = n5 & n8 ; n8 = n4 & n6 ; n7 = n4 | n5 ; n6 = cN | n0 ; n5 = n1 | n3 ; n4 = c | n2 ; n3 = c & n2 ; n2 = aN & bN ; n1 = cN & n0 ; n0 = a | b
00	2e	sat	8	0.26	F0 = n6 ; F0N = n3 ; F1 = n7 ; F1N = n5 ; n7 = n0 & n2 ; n6 = n1 & n4 ; n5 = n1 | n4 ; n4 = b & c ; n3 = n0 | n1 ; n2 = bN | cN ; n1 = aN & bN ; n0 = a | b
00	3c	sat	8	0.32	F0 = n5 ; F0N = n6 ; F1 = n4 ; F1N = n7 ; n7 = n0 | n1 ; n6 = n1 | n2 ; n5 = bN & n1 ; n4 = n2 & n3 ; n3 = b | c ; n2 = bN | cN ; n1 = b & c ; n0 = bN & cN
00	8e	sat	10	28.25	F0 = n8 ; F0N = n2 ; F1 = n6 ; F1N = n9 ; n9 = n1 | n7 ; n8 = a & n7 ; n7 = aN & n5 ; n6 = n3 | n4 ; n5 = bN | c ; n4 = b & cN ; n3 = a & n0 ; n2 = bN | n0 ; n1 = bN & c ; n0 = b | cN
00	96	sat	14	224.33	F0 = n7 ; F0N = n8 ; F1 = n11 ; F1N = n13 ; n13 = n9 & n12 ; n12 = b | n2 ; n11 = n3 | n10 ; n10 = bN & n6 ; n9 = bN | n6 ; n8 = n1 | n5 ; n7 = bN & n3 ; n6 = n4 | n5 ; n5 = a & cN ; n4 = aN & c ; n3 = b & n2 ; n2 = n0 & n1 ; n1 = aN | c ; n0 = a | cN
00	aa	sat	4	0.04	F0 = n3 ; F0N = n2 ; F1 = a ; F1N = aN ; n3 = n0 & n1 ; n2 = a | n0 ; n1 = a & c ; n0 = aN | cN
02	02	sat	4	0.03	F0 = n2 ; F0N = n3 ; F1 = n2 ; F1N = n3 ; n3 = c | n1 ; n2 = bN & n0 ; n1 = aN | b ; n0 = a & cN
02	04	sat	8	0.44	F0 = n3 ; F0N = n6 ; F1 = n5 ; F1N = n7 ; n7 = bN | n4 ; n6 = b | n0 ; n5 = cN & n1 ; n4 = c | n2 ; n3 = bN & n2 ; n2 = a & cN ; n1 = b & n0 ; n0 = aN | c
02	06	sat	10	7.71	F0 = n5 ; F0N = n2 ; F1 = n9 ; F1N = n6 ; n9 = n5 | n8 ; n8 = b & n7 ; n7 = aN & cN ; n6 = c | n3 ; n5 = cN & n4 ; n4 = a & bN ; n3 = n1 & n2 ; n2 = c | n0 ; n1 = a | bN ; n0 = aN | b
02	08	sat	6	0.08	F0 = n5 ; F0N = n4 ; F1 = n2 ; F1N = n3 ; n5 = bN & n0 ; n4 = b | n1 ; n3 = bN | n1 ; n2 = b & n0 ; n1 = aN | c ; n0 = a & cN
02	0a	sat	4	0.03	F0 = n3 ; F0N = n2 ; F1 = n0 ; F1N = n1 ; n3 = bN & n0 ; n2 = b | n1 ; n1 = aN | c ; n0 = a & cN
02	0c	sat	6	0.11	F0 = n4 ; F0N = n2 ; F1 = n3 ; F1N = n5 ; n5 = bN | c ; n4 = a & n0 ; n3 = b & cN ; n2 = c | n1 ; n1 = aN | b ; n0 = bN & cN
02	0e	sat	6	0.08	F0 = n5 ; F0N = n4 ; F1 = n1 ; F1N = n3 ; n5 = bN & n1 ; n4 = b | n3 ; n3 = c | n2 ; n2 = aN & bN ; n1 = cN & n0 ; n0 = a | b
02	14	sat	10	7.56	F0 = n2 ; F0N = n4 ; F1 = n8 ; F1N = n9 ; n9 = n6 | n7 ; n8 = aN & n5 ; n7 = b & c ; n6 = a | n1 ; n5 = n0 & n3 ; n4 = aN | n3 ; n3 = b | c ; n2 = a & n1 ; n1 = bN & cN ; n0 = bN | cN
02	16	sat	12	98.93	F0 = n3 ; F0N = n5 ; F1 = n7 ; F1N = n11 ; n11 = n5 & n10 ; n10 = n0 | n9 ; n9 = a | n8 ; n8 = b & c ; n7 = n4 & n6 ; n6 = n2 | n3 ; n5 = aN | n1 ; n4 = bN | cN ; n3 = a & n0 ; n2 = aN & n1 ; n1 = b | c ; n0 = bN & cN
02	18	sat	12	108.01	F0 = n7 ; F0N = n10 ; F1 = n8 ; F1N = n11 ; n11 = n4 | n9 ; n10 = c | n6 ; n9 = aN & cN ; n8 = n5 & n6 ; n7 = cN & n4 ; n6 = n0 | n2 ; n5 = a | c ; n4 = n1 | n3 ; n3 = a & bN ; n2 = b & cN ; n1 = b & c ; n0 = aN & bN
02	1a	sat	10	4.40	F0 = n9 ; F0N = n7 ; F1 = n4 ; F1N = n8 ; n9 = bN & n1 ; n8 = n5 & n6 ; n7 = b | n5 ; n6 = cN | n2 ; n5 = aN | c ; n4 = n1 | n3 ; n3 = aN & n0 ; n2 = a | b ; n1 = a & cN ; n0 = bN & c
02	1c	sat	10	6.51	F0 = n2 ; F0N = n8 ; F1 = n9 ; F1N = n6 ; n9 = n5 & n7 ; n8 = aN | n7 ; n7 = b | c ; n6 = n1 | n3 ; n5 = cN | n4 ; n4 = aN & bN ; n3 = c & n0 ; n2 = a & n1 ; n1 = bN & cN ; n0 = a | b
02	1e	sat	10	5.04	F0 = n6 ; F0N = n5 ; F1 = n8 ; F1N = n9 ; n9 = n2 & n7 ; n8 = n1 | n4 ; n7 = cN | n3 ; n6 = bN & n4 ; n5 = b | n2 ; n4 = cN & n3 ; n3 = a | b ; n2 = c | n0 ; n1 = c & n0 ; n0 = aN & bN
02	28	sat	10	12.69	F0 = n4 ; F0N = n6 ; F1 = n7 ; F1N = n9 ; n9 = n4 | n8 ; n8 = aN | n5 ; n7 = n3 & n6 ; n6 = c | n1 ; n5 = b & c ; n4 = cN & n0 ; n3 = n0 | n2 ; n2 = a & cN ; n1 = aN | b ; n0 = a & bN
02	2a	sat	8	0.71	F0 = n2 ; F0N = n7 ; F1 = n6 ; F1N = n5 ; n7 = n3 | n4 ; n6 = a & n0 ; n5 = n3 & n4 ; n4 = aN | c ; n3 = aN | b ; n2 = cN & n1 ; n1 = a & bN ; n0 = bN | cN
02	2c	sat	10	7.72	F0 = n4 ; F0N = n9 ; F1 = n8 ; F1N = n6 ; n9 = n2 | n8 ; n8 = n5 & n7 ; n7 = b | c ; n6 = n2 | n4 ; n5 = cN | n3 ; n4 = cN & n3 ; n3 = a & bN ; n2 = n0 | n1 ; n1 = aN & bN ; n0 = b & c
02	2e	sat	8	0.46	F0 = n5 ; F0N = n7 ; F1 = n6 ; F1N = n2 ; n7 = c | n1 ; n6 = n3 | n4 ; n5 = cN & n4 ; n4 = a & bN ; n3 = b & cN ; n2 = n0 & n1 ; n1 = aN | b ; n0 = bN | c
02	3c	sat	8	0.45	F0 = n7 ; F0N = n6 ; F1 = n5 ; F1N = n4 ; n7 = a & n3 ; n6 = aN | n1 ; n5 = n1 & n2 ; n4 = n0 | n3 ; n3 = bN & cN ; n2 = bN | cN ; n1 = b | c ; n0 = b & c
02	3e	sat	10	11.31	F0 = n7 ; F0N = n6 ; F1 = n5 ; F1N = n9 ; n9 = n3 | n8 ; n8 = b & c ; n7 = a & n1 ; n6 = aN | n0 ; n5 = n2 & n4 ; n4 = bN | cN ; n3 = aN & n1 ; n2 = a | n0 ; n1 = bN & cN ; n0 = b | c
02	40	sat	8	0.59	F0 = n7 ; F0N = n2 ; F1 = n5 ; F1N = n4 ; n7 = bN & n6 ; n6 = a & cN ; n5 = b & n3 ; n4 = bN | n1 ; n3 = aN & c ; n2 = b | n0 ; n1 = a | cN ; n0 = aN | c
02	42	sat	10	5.14	F0 = n5 ; F0N = n4 ; F1 = n9 ; F1N = n8 ; n9 = n3 | n5 ; n8 = n4 & n7 ; n7 = bN | n6 ; n6 = a | cN ; n5 = bN & n1 ; n4 = b | n2 ; n3 = b & n0 ; n2 = aN | c ; n1 = a & cN ; n0 = aN & c
02	44	sat	6	0.23	F0 = n5 ; F0N = n3 ; F1 = n1 ; F1N = n2 ; n5 = cN & n4 ; n4 = a & bN ; n3 = b | n0 ; n2 = a | bN ; n1 = aN & b ; n0 = aN | c
02	46	sat	8	0.29	F0 = n1 ; F0N = n6 ; F1 = n4 ; F1N = n7 ; n7 = n2 & n6 ; n6 = aN | n5 ; n5 = b | c ; n4 = n1 | n3 ; n3 = aN & b ; n2 = a | bN ; n1 = bN & n0 ; n0 = a & cN
02	48	sat	10	9.63	F0 = n8 ; F0N = n4 ; F1 = n9 ; F1N = n5 ; n9 = b & n7 ; n8 = bN & n6 ; n7 = n1 | n6 ; n6 = a & cN ; n5 = bN | n3 ; n4 = b | n0 ; n3 = n0 & n2 ; n2 = a | cN ; n1 = aN & c ; n0 = aN | c
02	4a	sat	10	4.50	F0 = n9 ; F0N = n6 ; F1 = n4 ; F1N = n8 ; n9 = bN & n4 ; n8 = n0 & n7 ; n7 = a | n5 ; n6 = b | n0 ; n5 = bN | cN ; n4 = n1 | n3 ; n3 = aN & n2 ; n2 = b & c ; n1 = a & cN ; n0 = aN | c
02	4c	sat	8	0.55	F0 = n5 ; F0N = n1 ; F1 = n3 ; F1N = n7 ; n7 = bN | n6 ; n6 = a & c ; n5 = a & n4 ; n4 = bN & cN ; n3 = b & n2 ; n2 = aN | cN ; n1 = aN | n0 ; n0 = b | c
02	4e	sat	8	0.37	F0 = n3 ; F0N = n7 ; F1 = n5 ; F1N = n6 ; n7 = b | n6 ; n6 = n0 | n1 ; n5 = n2 | n4 ; n4 = aN & b ; n3 = bN & n2 ; n2 = a & cN ; n1 = aN & bN ; n0 = a & c
02	54	sat	6	0.17	F0 = n2 ; F0N = n5 ; F1 = n3 ; F1N = n4 ; n5 = aN | n0 ; n4 = a | n1 ; n3 = aN & n0 ; n2 = a & n1 ; n1 = bN & cN ; n0 = b | c
02	56	sat	8	0.48	F0 = n1 ; F0N = n5 ; F1 = n4 ; F1N = n7 ; n7 = n5 & n6 ; n6 = a | n0 ; n5 = aN | n2 ; n4 = n1 | n3 ; n3 = aN & n2 ; n2 = b | c ; n1 = a & n0 ; n0 = bN & cN
02	68	sat	14	206.06	F0 = n12 ; F0N = n8 ; F1 = n13 ; F1N = n10 ; n13 = n5 & n11 ; n12 = a & n3 ; n11 = a | n0 ; n10 = n7 | n9 ; n9 = aN & n4 ; n8 = n0 | n5 ; n7 = n3 | n6 ; n6 = a & n0 ; n5 = aN | n4 ; n4 = n1 | n2 ; n3 = bN & cN ; n2 = b & cN ; n1 = bN & c ; n0 = b & c
02	6a	sat	12	111.31	F0 = n2 ; F0N = n11 ; F1 = n9 ; F1N = n7 ; n11 = b | n10 ; n10 = aN | c ; n9 = n3 | n8 ; n8 = a & n4 ; n7 = n5 | n6 ; n6 = a & n0 ; n5 = aN & n4 ; n4 = bN | cN ; n3 = aN & n0 ; n2 = cN & n1 ; n1 = a & bN ; n0 = b & c
02	8c	sat	8	0.59	F0 = n5 ; F0N = n7 ; F1 = n6 ; F1N = n1 ; n7 = aN | n2 ; n6 = b & n3 ; n5 = cN & n4 ; n4 = a & n1 ; n3 = a | cN ; n2 = b | c ; n1 = bN | n0 ; n0 = aN & c
02	8e	sat	10	14.65	F0 = n8 ; F0N = n2 ; F1 = n7 ; F1N = n9 ; n9 = n0 | n6 ; n8 = bN & n7 ; n7 = n4 & n5 ; n6 = bN & n2 ; n5 = a | b ; n4 = cN | n3 ; n3 = a & b ; n2 = aN | n1 ; n1 = b | c ; n0 = aN & c
02	94	sat	14	207.27	F0 = n12 ; F0N = n11 ; F1 = n13 ; F1N = n8 ; n13 = n9 & n10 ; n12 = bN & n5 ; n11 = aN | n10 ; n10 = n1 & n7 ; n9 = aN | n2 ; n8 = n5 | n6 ; n7 = bN | n4 ; n6 = bN & n4 ; n5 = n0 & n3 ; n4 = a | cN ; n3 = a | n2 ; n2 = b & c ; n1 = b | c ; n0 = aN | cN
02	96	sat	14	213.09	F0 = n1 ; F0N = n11 ; F1 = n10 ; F1N = n13 ; n13 = n9 & n12 ; n12 = cN | n5 ; n11 = aN | n9 ; n10 = n6 | n8 ; n9 = c | n7 ; n8 = c & n7 ; n7 = n2 | n4 ; n6 = cN & n5 ; n5 = n0 | n3 ; n4 = aN & bN ; n3 = aN & b ; n2 = a & b ; n1 = cN & n0 ; n0 = a & bN
02	a8	sat	6	0.18	F0 = n3 ; F0N = n5 ; F1 = n1 ; F1N = n4 ; n5 = aN | n0 ; n4 = aN | n3 ; n3 = cN & n2 ; n2 = a & bN ; n1 = a & n0 ; n0 = b | c
02	aa	sat	4	0.13	F0 = n2 ; F0N = n3 ; F1 = a ; F1N = aN ; n3 = aN | n0 ; n2 = cN & n1 ; n1 = a & bN ; n0 = b | c
02	d4	sat	10	18.31	F0 = n7 ; F0N = n9 ; F1 = n8 ; F1N = n3 ; n9 = b | n6 ; n8 = n5 & n6 ; n7 = a & n0 ; n6 = aN | c ; n5 = b | n4 ; n4 = aN & c ; n3 = n0 | n2 ; n2 = a & n1 ; n1 = bN | cN ; n0 = bN & cN
02	d6	sat	12	105.34	F0 = n6 ; F0N = n3 ; F1 = n7 ; F1N = n11 ; n11 = n9 & n10 ; n10 = n3 & n8 ; n9 = a | n5 ; n8 = bN | cN ; n7 = n4 | n6 ; n6 = a & n5 ; n5 = bN & cN ; n4 = n1 & n2 ; n3 = c | n1 ; n2 = c | n0 ; n1 = aN | b ; n0 = aN & b
06	06	sat	8	0.44	F0 = n7 ; F0N = n4 ; F1 = n7 ; F1N = n4 ; n7 = cN & n6 ; n6 = n3 | n5 ; n5 = aN & b ; n4 = n1 | n2 ; n3 = a & bN ; n2 = a & b ; n1 = c | n0 ; n0 = aN & bN
06	0a	sat	10	9.55	F0 = n9 ; F0N = n6 ; F1 = n7 ; F1N = n8 ; n9 = n1 & n3 ; n8 = aN | c ; n7 = a & n3 ; n6 = n4 | n5 ; n5 = aN & bN ; n4 = c | n0 ; n3 = cN & n2 ; n2 = a | b ; n1 = aN | bN ; n0 = a & b
06	0e	sat	8	0.41	F0 = n7 ; F0N = n3 ; F1 = n6 ; F1N = n1 ; n7 = n5 & n6 ; n6 = cN & n4 ; n5 = aN | bN ; n4 = a | b ; n3 = n1 | n2 ; n2 = a & b ; n1 = c | n0 ; n0 = aN & bN
06	12	sat	12	78.32	F0 = n10 ; F0N = n6 ; F1 = n11 ; F1N = n5 ; n11 = bN & n9 ; n10 = cN & n9 ; n9 = n7 & n8 ; n8 = a | n0 ; n7 = aN | n1 ; n6 = c | n4 ; n5 = b | n4 ; n4 = n2 & n3 ; n3 = aN | n0 ; n2 = a | n1 ; n1 = bN & cN ; n0 = b | c
06	16	sat	12	70.08	F0 = n9 ; F0N = n5 ; F1 = n11 ; F1N = n10 ; n11 = n8 | n9 ; n10 = n2 & n5 ; n9 = n6 & n7 ; n8 = c & n3 ; n7 = cN & n1 ; n6 = aN | bN ; n5 = n3 | n4 ; n4 = c | n0 ; n3 = aN & bN ; n2 = cN | n1 ; n1 = a | b ; n0 = a & b
06	18	sat	12	87.23	F0 = n9 ; F0N = n8 ; F1 = n11 ; F1N = n4 ; n11 = n6 & n10 ; n10 = cN | n7 ; n9 = n1 & n2 ; n8 = n6 | n7 ; n7 = aN & bN ; n6 = c | n5 ; n5 = a & b ; n4 = n1 | n3 ; n3 = c & n2 ; n2 = a | b ; n1 = cN & n0 ; n0 = aN | bN
06	1a	sat	14	199.50	F0 = n12 ; F0N = n10 ; F1 = n13 ; F1N = n7 ; n13 = n5 & n11 ; n12 = n0 & n9 ; n11 = cN | n8 ; n10 = n6 | n8 ; n9 = cN & n1 ; n8 = aN & bN ; n7 = n2 | n3 ; n6 = n4 & n5 ; n5 = a | c ; n4 = b | n3 ; n3 = c & n1 ; n2 = aN & cN ; n1 = a | b ; n0 = aN | bN
